assists_x,clean_sheets_x,expected_goal_involvements,expected_goals_conceded,goals_conceded_x,goals_scored_x,minutes,round,selected,starts,threat,total_points,value,id,element_type,first_name,second_name,team,average_total_points,minutes_played,total_starts,avg_selected,goals_scored_y,assists_y,total_xgc,goals_conceded_y,clean_sheets_y,total_xgi,avg_threat
0,0,0.0,0.0,0,0,0,11,352,0,0.0,0,45,150,MID,Andrey,Nascimento dos Santos,6,0.0,0,0,379,0,0,,,,0.0,0.0
0,1,0.0,0.77,0,0,90,11,873934,1,0.0,9,51,383,GK,André,Onana,14,4.0,540,6,725138,0,0,10.73,7.0,2.0,,
0,0,0.0,0.0,0,0,0,11,2273,0,0.0,0,50,642,MID,André,Trindade da Costa Neto,20,0.6,192,3,2062,0,0,,,,0.03,1.17
0,0,0.0,0.0,0,0,0,11,2633,0,0.0,0,48,576,MID,Andy,Irving,19,0.2,12,0,2614,0,0,,,,0.0,0.0
1,0,0.53,1.52,3,0,87,11,88560,1,17.0,5,52,432,MID,Anthony,Elanga,16,2.8,339,4,96161,0,1,,,,1.03,7.67
0,0,0.62,0.6,1,0,79,11,953853,1,37.0,2,72,398,MID,Anthony,Gordon,15,2.2,427,5,1041335,1,1,,,,3.44,27.0
0,0,0.31,1.48,3,0,90,11,1093862,1,43.0,2,56,78,MID,Antoine,Semenyo,3,3.4,538,6,992289,2,0,,,,2.38,32.17
0,1,0.11,1.52,0,0,90,11,1692072,1,10.0,6,47,255,DEF,Antonee,Robinson,9,3.2,540,6,1637684,0,1,6.95,8.0,2.0,,
0,0,0.0,0.0,0,0,0,11,20883,0,0.0,0,57,365,MID,Antony Matheus,dos Santos,14,0.2,26,0,22426,0,0,,,,0.15,1.33
0,0,0.0,0.0,0,0,0,11,15009,0,0.0,0,47,489,MID,Archie,Gray,18,0.4,10,0,15837,0,0,,,,0.0,0.0
0,0,0.0,1.82,1,0,90,11,117916,1,0.0,3,44,568,GK,Arijanet,Muric,10,2.4,540,6,118541,0,0,13.83,14.0,0.0,,
0,0,0.0,0.0,0,0,0,11,5661,0,0.0,0,54,156,FWD,Armando,Broja,8,0.0,0,0,6082,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,50257,0,0.0,0,39,456,DEF,Armel,Bella-Kotchap,17,0.0,0,0,41633,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,2,11,4567,0,0.0,1,45,646,MID,Asher,Agbinone,7,0.4,4,0,4269,0,0,,,,0.03,0.17
0,0,0.0,0.0,0,0,0,11,23091,0,0.0,0,40,478,DEF,Ashley,Phillips,18,0.0,0,0,25628,0,0,0.0,0.0,0.0,,
0,1,0.13,0.83,0,0,90,11,127999,1,4.0,5,45,238,DEF,Ashley,Young,8,5.0,540,6,68392,0,2,7.08,3.0,3.0,,
0,0,0.0,0.0,0,0,0,11,27988,0,0.0,0,40,624,GK,Asmir,Begovic,8,0.0,0,0,25839,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,31156,0,0.0,0,43,167,DEF,Axel,Disasi,6,0.0,0,0,34407,0,0,0.0,0.0,0.0,,
0,0,0.0,1.82,1,0,90,11,250289,1,0.0,1,40,282,DEF,Axel,Tuanzebe,10,0.2,180,2,318667,0,0,2.64,3.0,0.0,,
0,0,0.0,0.0,0,0,0,11,4682,0,0.0,0,40,658,DEF,Ayden,Heaven,1,0.0,0,0,3891,0,0,0.0,0.0,0.0,,
0,0,0.0,2.22,1,0,90,11,208910,1,0.0,3,45,146,GK,Bart,Verbruggen,5,3.6,540,6,204647,0,0,12.78,11.0,1.0,,
0,0,0.0,0.0,0,0,0,11,15872,0,0.0,0,40,637,DEF,Bastien,Meupiyou,20,0.0,0,0,17704,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,270,0,0.0,0,45,114,MID,Benicio,Baker-Boaitey,5,0.0,0,0,303,0,0,,,,0.0,0.0
